method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
ReFAT,intra,358,refat_decode,local,0,0,33,10,0.36247193068265915
ReFAT,intra,360,refat_decode,local,0,0,44,64,2.0034722546115518
ReFAT,intra,368,refat_decode,local,0,0,29,512,16.436016504652798
ReFAT,intra,375,refat_decode,local,0,0,45,17,0.5388932898640633
ReFAT,intra,381,refat_decode,local,0,0,32,11,0.3651317059993744
ReFAT,intra,384,refat_decode,local,0,0,41,13,0.4340162891894579
ReFAT,intra,387,refat_decode,local,0,0,23,407,13.145726880989969
ReFAT,intra,388,refat_decode,local,0,0,21,104,3.347518322058022
ReFAT,intra,398,refat_decode,local,0,0,34,339,10.804447397589684
ReFAT,intra,399,refat_decode,local,0,0,25,421,13.613424108363688
ReFAT,intra,405,refat_decode,local,0,0,31,458,16.342285963706672
ReFAT,intra,407,refat_decode,local,0,0,26,307,10.035297934897244
ReFAT,intra,413,refat_decode,local,0,0,41,335,10.802516153082252
ReFAT,intra,414,refat_decode,local,0,0,39,375,12.148083040490746
ReFAT,intra,417,refat_decode,local,0,0,40,512,17.46407713368535
ReFAT,intra,418,refat_decode,local,0,0,45,232,7.579885977320373
ReFAT,intra,425,refat_decode,local,0,0,27,326,10.599910797551274
ReFAT,intra,426,refat_decode,local,0,0,36,482,15.442208731546998
ReFAT,intra,427,refat_decode,local,0,0,80,73,2.442456644028425
ReFAT,intra,429,refat_decode,local,0,0,31,269,9.431073708459735
ReFAT,intra,437,refat_decode,local,0,0,71,353,12.334956899285316
ReFAT,intra,442,refat_decode,local,0,0,35,357,12.79498210735619
ReFAT,intra,444,refat_decode,local,0,0,23,394,13.372424000874162
ReFAT,intra,445,refat_decode,local,0,0,33,225,7.294110002927482
ReFAT,intra,450,refat_decode,local,0,0,23,462,17.381317161023617
ReFAT,intra,453,refat_decode,local,0,0,20,512,17.2485687173903
ReFAT,intra,462,refat_decode,local,0,0,70,512,16.413445160724223
ReFAT,intra,465,refat_decode,local,0,0,22,512,18.85230127815157
ReFAT,intra,466,refat_decode,local,0,0,27,291,9.3862788612023
ReFAT,intra,476,refat_decode,local,0,0,37,455,14.587632135488093
ReFAT,intra,477,refat_decode,local,0,0,20,426,14.101583134382963
ReFAT,intra,479,refat_decode,local,0,0,31,257,8.269366058520973
ReFAT,intra,480,refat_decode,local,0,0,175,55,1.823989126831293
ReFAT,intra,483,refat_decode,local,0,0,42,40,1.261537934653461
ReFAT,intra,493,refat_decode,local,0,0,32,428,13.630129164084792
ReFAT,intra,495,refat_decode,local,0,0,33,396,12.81803029589355
ReFAT,intra,496,refat_decode,local,0,0,33,500,16.097278816625476
ReFAT,intra,497,refat_decode,local,0,0,106,353,11.533764484338462
ReFAT,intra,498,refat_decode,local,0,0,53,61,1.9941083630546927
ReFAT,intra,510,refat_decode,local,0,0,21,42,1.39075299911201
ReFAT,intra,512,refat_decode,local,0,0,29,74,2.4927789475768805
ReFAT,intra,513,refat_decode,local,0,0,19,53,1.7070241449400783
ReFAT,intra,517,refat_decode,local,0,0,21,413,13.379740375094116
ReFAT,intra,524,refat_decode,local,0,0,26,447,15.59953609853983
ReFAT,intra,528,refat_decode,local,0,0,20,378,12.966793991625309
ReFAT,intra,529,refat_decode,local,0,0,23,396,14.376354143954813
ReFAT,intra,531,refat_decode,local,0,0,39,512,16.695348690263927
ReFAT,intra,533,refat_decode,local,0,0,25,436,15.641825779341161
ReFAT,intra,539,refat_decode,local,0,0,24,344,11.87770369835198
ReFAT,intra,546,refat_decode,local,0,0,36,352,11.500495633110404
ReFAT,intra,549,refat_decode,local,0,0,24,114,3.7387455850839615
ReFAT,intra,564,refat_decode,local,0,0,24,156,5.057688408531249
ReFAT,intra,568,refat_decode,local,0,0,45,464,15.846481601707637
ReFAT,intra,572,refat_decode,local,0,0,33,398,13.728384501300752
ReFAT,intra,577,refat_decode,local,0,0,52,194,6.429336776956916
ReFAT,intra,584,refat_decode,local,0,0,22,480,15.626915549859405
ReFAT,intra,585,refat_decode,local,0,0,24,261,8.731707024388015
ReFAT,intra,593,refat_decode,local,0,0,16,210,6.944352701306343
ReFAT,intra,595,refat_decode,local,0,0,36,40,1.3001824403181672
ReFAT,intra,600,refat_decode,local,0,0,25,22,0.7404521638527513
ReFAT,intra,602,refat_decode,local,0,0,27,102,3.405936653725803
ReFAT,intra,605,refat_decode,local,0,0,88,71,2.4183289613574743
ReFAT,intra,606,refat_decode,local,0,0,38,187,6.213432867079973
ReFAT,intra,612,refat_decode,local,0,0,28,335,11.145904988981783
ReFAT,intra,613,refat_decode,local,0,0,21,374,12.60755911655724
ReFAT,intra,616,refat_decode,local,0,0,43,469,17.91654623299837
ReFAT,intra,623,refat_decode,local,0,0,47,345,13.811431910842657
ReFAT,intra,631,refat_decode,local,0,0,54,181,6.3159239161759615
ReFAT,intra,635,refat_decode,local,0,0,33,512,17.06102312915027
